Incident Id,Call Type,Date,Location,Incident Number
576,Domestic Disturbance,10/01/2011 07:10:00 PM,Park St,11BU023135
584,Traffic,10/01/2011 08:58:00 PM,S Winooski Ave/Bank St,11BU023143
586,Intoxication,10/01/2011 09:13:00 PM,Pearl St,11BU023145
587,Noise,10/01/2011 09:25:00 PM,No Willard St,11BU023146
591,Noise,10/01/2011 10:03:00 PM,Peru St,11BU023150
592,Traffic,10/01/2011 10:32:00 PM,Pine St/Locust St,11BU023151
595,Intoxication,10/01/2011 10:53:00 PM,Colchester Ave,11BU023154
599,Traffic,10/01/2011 11:40:00 PM,S Winooski Ave/Bank St,11BU023158
602,Noise,10/02/2011 12:02:00 AM,North St/N Winooski Ave,11BU023161
603,Assault - Simple,10/02/2011 12:10:00 AM,Converse Ct,11BU023162
604,Noise,10/02/2011 12:25:00 AM,School St,11BU023163
605,Traffic,10/02/2011 12:29:00 AM,S Prospect St/Maple St,11BU023164
607,Noise,10/02/2011 12:38:00 AM,Brooks Ave,11BU023166
608,Noise,10/02/2011 12:43:00 AM,S Union St/Buell St,11BU023167
609,Ordinance Violation - Other,10/02/2011 01:26:00 AM,Isham St,11BU023168
612,Intoxication,10/02/2011 01:40:00 AM,North St/N Winooski Ave,11BU023171
613,Noise,10/02/2011 01:49:00 AM,Isham St,11BU023172
618,Noise,10/02/2011 02:52:00 AM,Buell St,11BU023177
619,Domestic Disturbance,10/02/2011 02:53:00 AM,Hayward St/Marble Ave,11BU023178
620,Trespass,10/02/2011 04:59:00 AM,Cherry St,11BU023179
633,Traffic,10/02/2011 11:46:00 AM,Riverside Avenue,11BU023192
637,Traffic,10/02/2011 02:12:00 PM,Pearl St/Clark St,11BU023196
644,Mental Health Issue,10/02/2011 05:40:00 PM,Church St,11BU023203
647,Intoxication,10/02/2011 07:01:00 PM,Pearl St,11BU023206
650,Trespass,10/02/2011 07:38:00 PM,North St,11BU023209
652,Traffic,10/02/2011 07:48:00 PM,St Paul St/Catherine St,11BU023211
662,Noise,10/03/2011 02:41:00 AM,Pearl St,11BU023221
663,Noise,10/03/2011 02:45:00 AM,Pearl St/Orchard Terr,11BU023222
665,Noise,10/03/2011 03:33:00 AM,North Ave,11BU023224
670,Vandalism,10/03/2011 06:46:00 AM,S Willard St,11BU023229
675,Traffic,10/03/2011 09:01:00 AM,North St/N Winooski Ave,11BU023234
676,Vandalism,10/03/2011 09:07:00 AM,Archibald St,11BU023235
687,Traffic,10/03/2011 11:10:00 AM,S Prospect St/Ledge Rd,11BU023246
704,Traffic,10/03/2011 01:17:00 PM,Prospect Pkwy/Crescent Rd,11BU023263
714,Ordinance Violation - Other,10/03/2011 03:21:00 PM,Monroe St/George St,11BU023273
718,Traffic,10/03/2011 04:12:00 PM,N Willard St/Pomeroy St,11BU023277
719,Traffic,10/03/2011 04:14:00 PM,Manhattan Dr/Rose St,11BU023278
722,Domestic Disturbance,10/03/2011 04:44:00 PM,Loomis St,11BU023281
723,Traffic,10/03/2011 04:47:00 PM,Main St/Battery St,11BU023282
724,Vandalism,10/03/2011 04:50:00 PM,N Champlain St,11BU023283
726,Domestic Disturbance,10/03/2011 05:00:00 PM,Baird St,11BU023285
728,Trespass,10/03/2011 05:04:00 PM,S Winooski Ave,11BU023287
732,Traffic,10/03/2011 05:36:00 PM,Battery St/main St,11BU023291
737,Trespass,10/03/2011 06:23:00 PM,Clarke St,11BU023296
741,Traffic,10/03/2011 07:22:00 PM,North Ave/cayuga Ct,11BU023300
742,Traffic,10/03/2011 07:45:00 PM,North Ave/staniford Rd,11BU023301
748,Traffic,10/03/2011 09:19:00 PM,Archibald St/hyde St,11BU023307
749,Vandalism,10/03/2011 09:29:00 PM,Colchester Ave,11BU023308
751,Trespass,10/03/2011 11:02:00 PM,George St,11BU023310
752,Traffic,10/03/2011 11:29:00 PM,Colchester Ave/east Ave,11BU023311
754,Traffic,10/03/2011 11:42:00 PM,Colchester Ave/mansfield Ave,11BU023313
756,Trespass,10/04/2011 01:01:00 AM,King St,11BU023315
757,Traffic,10/04/2011 01:33:00 AM,Colchester Ave/mansfield Ave,11BU023316
759,Traffic,10/04/2011 02:11:00 AM,Intervale Ave/archibald St,11BU023318
761,Burglary,10/04/2011 03:16:00 AM,Intervale Ave,11BU023320
762,Noise,10/04/2011 04:01:00 AM,Pearl St,11BU023321
766,Traffic,10/04/2011 07:30:00 AM,Main St/church St,11BU023325
767,Traffic,10/04/2011 07:39:00 AM,East Ave/university Rd,11BU023326
768,Assault - Aggravated,10/04/2011 07:40:00 AM,North A,11BU023327
771,Traffic,10/04/2011 08:16:00 AM,Battery St/cherry St,11BU023330
773,Assault - Simple,10/04/2011 08:31:00 AM,N Winooski Ave,11BU023332
774,Burglary,10/04/2011 08:54:00 AM,North Ave,11BU023333
784,Trespass,10/04/2011 11:21:00 AM,King St,11BU023343
785,Vandalism,10/04/2011 11:30:00 AM,Rose St,11BU023344
789,Stolen Vehicle,10/04/2011 12:02:00 PM,North St,11BU023348
790,Traffic,10/04/2011 12:23:00 PM,Shelburne Rd/189,11BU023349
791,Mental Health Issue,10/04/2011 12:35:00 PM,Maple St,11BU023350
793,Traffic,10/04/2011 12:38:00 PM,Shelburne Rd/home Ave,11BU023352
795,Assault - Simple,10/04/2011 12:55:00 PM,Convent Sq,11BU023354
802,Burglary,10/04/2011 01:46:00 PM,N Champlain St,11BU023361
803,Intoxication,10/04/2011 01:50:00 PM,Pearl St,11BU023362
804,Ordinance Violation - Other,10/04/2011 02:39:00 PM,Pearl St/battery St,11BU023363
810,Traffic,10/04/2011 03:45:00 PM,Pearl St/willard St,11BU023369
811,Traffic,10/04/2011 04:14:00 PM,Pearl St/prospect St,11BU023370
814,Traffic,10/04/2011 04:44:00 PM,Pearl St/battery St,11BU023373
815,Intoxication,10/04/2011 04:54:00 PM,City Hall Park,11BU023374
816,Ordinance Violation - Other,10/04/2011 04:57:00 PM,Church St / College St,11BU023375
818,Trespass,10/04/2011 05:19:00 PM,Pine St,11BU023377
822,Intoxication,10/04/2011 05:42:00 PM,Colchester Ave,11BU023381
825,Intoxication,10/04/2011 06:00:00 PM,Colchester Ave,11BU023384
828,Traffic,10/04/2011 07:19:00 PM,Pine St/home Ave,11BU023387
829,Domestic Disturbance,10/04/2011 07:35:00 PM,Ethan Allen Pkwy,11BU023388
833,Traffic,10/04/2011 08:24:00 PM,Main St/s Willard St,11BU023392
834,Domestic Disturbance,10/04/2011 08:44:00 PM,Northgate Rd,11BU023393
835,Traffic,10/04/2011 08:46:00 PM,Hyde St,11BU023394
840,Traffic,10/04/2011 10:04:00 PM,St Paul St/maple St,11BU023399
843,Traffic,10/04/2011 10:20:00 PM,Pine St/ Locust St.,11BU023402
845,Traffic,10/04/2011 10:53:00 PM,N Winooski Ave/archibald St,11BU023404
848,Traffic,10/04/2011 11:25:00 PM,Pine St / Queen City Park,11BU023407
852,Traffic,10/05/2011 12:14:00 AM,Pearl St/battery St,11BU023411
854,Traffic,10/05/2011 12:21:00 AM,Pine St/home Ave,11BU023413
855,Noise,10/05/2011 12:39:00 AM,Ledge Rd,11BU023414
857,Noise,10/05/2011 02:18:00 AM,Lake St,11BU023416
859,Traffic,10/05/2011 02:38:00 AM,Winooski Falls Way,11BU023418
866,Traffic,10/05/2011 09:54:00 AM,Shelburne Rd/s Prospect St,11BU023425
874,Traffic,10/05/2011 12:49:00 PM,North Ave/browe Ct,11BU023433
876,Ordinance Violation - Other,10/05/2011 01:00:00 PM,Church St,11BU023435
877,Intoxication,10/05/2011 01:13:00 PM,Main St,11BU023436
880,Ordinance Violation - Other,10/05/2011 01:40:00 PM,Center St,11BU023439
883,Ordinance Violation - Other,10/05/2011 02:09:00 PM,Church St,11BU023442
884,Ordinance Violation - Other,10/05/2011 02:35:00 PM,Pearl St/church St,11BU023443
892,Robbery,10/05/2011 03:05:00 PM,Pearl St/church St,11BU023445
895,Domestic Disturbance,10/05/2011 04:11:00 PM,Peru St,11BU023448
898,Ordinance Violation - Other,10/05/2011 04:57:00 PM,Pearl St/battery St,11BU023451
902,Intoxication,10/05/2011 05:31:00 PM,Pearl St,11BU023455
908,Burglary,10/05/2011 06:14:00 PM,S Winooski Ave,11BU023461
914,Trespass,10/05/2011 08:37:00 PM,Pine St,11BU023467
915,Traffic,10/05/2011 08:38:00 PM,St Paul St/king St,11BU023468
919,Traffic,10/05/2011 09:40:00 PM,North Ave/poirier Pl,11BU023472
920,Assault - Simple,10/05/2011 10:05:00 PM,Pine St,11BU023473
922,Noise,10/05/2011 10:18:00 PM,Church St,11BU023475
924,Noise,10/05/2011 11:36:00 PM,North Ave,11BU023477
926,Traffic,10/05/2011 11:57:00 PM,Main St/s Winooski Ave,11BU023479
931,Domestic Disturbance,10/06/2011 06:40:00 AM,Converse Ct,11BU023484
938,Trespass,10/06/2011 09:09:00 AM,Pine St,11BU023491
939,Burglary,10/06/2011 09:23:00 AM,S Union St,11BU023492
940,Ordinance Violation - Other,10/06/2011 09:59:00 AM,Battery St,11BU023493
941,Ordinance Violation - Other,10/06/2011 10:03:00 AM,Pearl St/battery St,11BU023494
943,Ordinance Violation - Other,10/06/2011 10:04:00 AM,College St/church St,11BU023496
956,Mental Health Issue,10/06/2011 02:10:00 PM,Church St/cherry St,11BU023509
957,Vandalism,10/05/2011 01:53:00 PM,Austin Dr,11BU023510
964,Trespass,10/06/2011 02:31:00 PM,Pine St,11BU023517
965,Burglary,10/06/2011 02:33:00 PM,Monroe St,11BU023518
968,Intoxication,10/06/2011 03:03:00 PM,Pearl St,11BU023521
970,Burglary,10/06/2011 03:17:00 PM,Maple St,11BU023523
974,Traffic,10/06/2011 03:53:00 PM,Pine St / Maple St,11BU023527
976,Burglary,10/06/2011 04:27:00 PM,Maple St,11BU023529
979,Ordinance Violation - Other,10/06/2011 04:38:00 PM,Cherry St,11BU023532
980,Trespass,10/06/2011 04:41:00 PM,Bank St,11BU023533
991,Ordinance Violation - Other,10/06/2011 06:04:00 PM,Main St/church St,11BU023544
994,Traffic,10/06/2011 07:09:00 PM,College St/s Union St,11BU023547
995,Traffic,10/06/2011 07:17:00 PM,Pearl St/n Champlain St,11BU023548
998,Traffic,10/06/2011 07:43:00 PM,Pearl St/university Pl,11BU023551
1001,Traffic,10/06/2011 08:34:00 PM,Pine St/ferguson Ave,11BU023554
1009,Traffic,10/06/2011 11:06:00 PM,North Ave/ave C,11BU023562
1010,Noise,10/06/2011 11:41:00 PM,Cliff St,11BU023563
1011,Assault - Simple,10/06/2011 11:46:00 PM,N Champlain St/monroe St,11BU023564
1012,Trespass,10/06/2011 11:59:00 PM,Church St,11BU023565
1019,Intoxication,10/07/2011 06:19:00 AM,N Champlain St/monroe St,11BU023572
1020,Trespass,10/07/2011 06:42:00 AM,College St,11BU023573
1021,Trespass,10/07/2011 07:11:00 AM,Prospect Parkway,11BU023574
1024,Trespass,10/07/2011 08:36:00 AM,S Union St,11BU023577
1028,Vandalism,10/07/2011 09:09:00 AM,North Ave,11BU023581
1031,Traffic,10/07/2011 09:54:00 AM,St Mary St/oak St,11BU023584
1036,Assault - Simple,10/07/2011 11:34:00 AM,George St,11BU023589
1042,Burglary,10/07/2011 12:34:00 PM,Pine St,11BU023595
1048,Domestic Disturbance,10/07/2011 02:02:00 PM,Church St,11BU023601
1052,Traffic,10/07/2011 03:09:00 PM,S Union St/adams St,11BU023605
1054,Burglary,10/07/2011 03:22:00 PM,Harrington Terr,11BU023607
1055,Burglary,10/07/2011 03:29:00 PM,Intervale Rd,11BU023608
1059,Ordinance Violation - Other,10/07/2011 04:05:00 PM,Church St/cherry St,11BU023612
1060,Burglary,10/07/2011 04:13:00 PM,Archibald St,11BU023613
1068,Intoxication,10/07/2011 05:41:00 PM,S Winooski Ave,11BU023621
1071,Traffic,10/07/2011 06:27:00 PM,Riverside Ave/hyde St,11BU023624
1074,Domestic Disturbance,10/07/2011 06:42:00 PM,S Willard St,11BU023627
1075,Intoxication,10/07/2011 06:44:00 PM,Colchester Ave,11BU023628
1079,Intoxication,10/07/2011 06:59:00 PM,Pearl St,11BU023632
1080,Domestic Disturbance,10/07/2011 07:10:00 PM,Church St,11BU023633
1081,Domestic Disturbance,10/07/2011 07:11:00 PM,Roosevelt Park,11BU023634
1082,Ordinance Violation - Other,10/07/2011 08:54:00 PM,N Union St/grant St,11BU023635
1084,Ordinance Violation - Other,10/07/2011 09:28:00 PM,City Hall Park,11BU023637
1086,Traffic,10/07/2011 09:51:00 PM,N Willard St/pomeroy St,11BU023639
1087,Intoxication,10/07/2011 10:16:00 PM,Colchester Ave,11BU023640
1089,Noise,10/07/2011 10:39:00 PM,N Champlain St,11BU023642
1090,Traffic,10/07/2011 10:47:00 PM,Pearl St/union St,11BU023643
1093,Traffic,10/07/2011 11:43:00 PM,Manhattan Dr/rose St,11BU023646
1094,Ordinance Violation - Other,10/07/2011 11:59:00 PM,S Willard St,11BU023647
1095,Noise,10/08/2011 12:06:00 AM,Hickok Pl,11BU023648
1096,Ordinance Violation - Other,10/08/2011 12:08:00 AM,S Willard St,11BU023649
1097,Vandalism,10/08/2011 12:13:00 AM,Lake St/depot St,11BU023650
1100,Intoxication,10/08/2011 12:20:00 AM,Colchester Ave,11BU023653
